,Nuclide,Pn,Pn err,lam,lam err
194,Cu73,0.00029,6e-05,0.16503504299046315,0.005894108678230827
195,Cu74,0.00075,0.00016,0.43375918683350767,0.00380014306362272
196,Cu75,0.027000000000000003,0.006,0.5662967161437462,0.0013879821474111426
197,Cu76,0.07200000000000001,0.005,1.0881431405964603,0.013665847919578781
198,Cu77,0.301,0.02,1.4754090688802581,0.006281009233206719
199,Cu78,0.51,0.1,2.08968097847436,0.01259982501341188
200,Cu79,0.66,0.12,2.872553587069811,0.024999430306036477
201,Cu80,0.58,0.09,6.117803888437293,0.345577624766096
202,Cu81,0.8,0.2,9.469223778141329,0.8796546679147681
203,Cu82,0.0,0.0,21.16479940641054,4.491461248077962
204,Zn78,0.0,0.0,0.47152869425846616,0.04811517288351696
205,Zn79,0.0175,0.0045000000000000005,0.9291517165682913,0.05231149074513168
206,Zn80,0.011000000000000001,0.0012,1.2335774702971087,0.006586105020272871
207,Zn81,0.18,0.04,2.3182179951837636,0.279116547915102
208,Zn82,0.69,0.07,3.8962742021357237,0.0547537127899905
209,Zn83,0.71,0.29,6.952328791975379,0.20919745612764432
210,Zn84,0.73,0.26,12.931850383581068,1.954253509459079
211,Ga79,0.00084,0.00029,0.24303898336603974,0.0008521703484082741
212,Ga80,0.0045000000000000005,0.0007000000000000001,0.364814305557866,0.01920075292409821
213,Ga80_m1,0.0045000000000000005,0.0007000000000000001,0.5331901388922656,0.08202925213727164
214,Ga81,0.125,0.008,0.5695539692357808,0.0018719933253435689
215,Ga82,0.22699999999999998,0.02,1.1533230957736196,0.0038380136298622946
216,Ga83,0.67,0.06,2.2359586469675654,0.0072127698289276305
217,Ga84,0.492,0.050159744815937816,7.280957778991022,0.1912016223474533
218,Ga85,0.8260000000000001,0.10007996802557444,7.542406752556532,0.09848626880378497
219,Ga86,1.014,0.08296987405076617,14.088357328454173,0.5726974523761859
220,Ga87,1.014,0.1324235628579748,23.90162691586018,3.296776126325542
221,Ge83,0.0,0.0,0.37467415165402446,0.01215159410769809
